______________________
1L
telomer span: 1-10, length: 10, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 11-28, length: 18, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 29-44, length: 16, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 45-63, length: 19, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 64-77, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 78-88, length: 11, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 89-113, length: 25, pattern Start: 121, pattern end: 3, last_jump_size: N/A
telomer span: 114-125, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 126-154, length: 29, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 155-174, length: 20, pattern Start: 126, pattern end: 3, last_jump_size: N/A
telomer span: 175-191, length: 17, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 192-209, length: 18, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 210-222, length: 13, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 223-253, length: 31, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 254-268, length: 15, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 269-282, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
______________________
1R
telomer span: 1-18, length: 18, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 19-32, length: 14, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 33-48, length: 16, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 49-67, length: 19, pattern Start: 127, pattern end: 3, last_jump_size: N/A
telomer span: 68-78, length: 11, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 79-103, length: 25, pattern Start: 121, pattern end: 3, last_jump_size: N/A
telomer span: 104-115, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 116-144, length: 29, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 145-164, length: 20, pattern Start: 126, pattern end: 3, last_jump_size: N/A
telomer span: 165-181, length: 17, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 182-199, length: 18, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 200-212, length: 13, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 213-243, length: 31, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 244-258, length: 15, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 259-272, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 273-296, length: 24, pattern Start: 122, pattern end: 3, last_jump_size: 23
______________________
2R
telomer span: 1-8, length: 8, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 9-20, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 21-34, length: 14, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 35-56, length: 22, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 57-71, length: 15, pattern Start: 131, pattern end: 3, last_jump_size: N/A
telomer span: 72-83, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 84-100, length: 17, pattern Start: 129, pattern end: 3, last_jump_size: N/A
telomer span: 101-113, length: 13, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 114-130, length: 17, pattern Start: 129, pattern end: 3, last_jump_size: N/A
telomer span: 131-155, length: 25, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 156-177, length: 22, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 178-187, length: 10, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 188-214, length: 27, pattern Start: 118, pattern end: 2, last_jump_size: N/A
telomer span: 215-229, length: 15, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 230-244, length: 15, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 245-260, length: 16, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 261-280, length: 20, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 281-297, length: 17, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 298-325, length: 28, pattern Start: 118, pattern end: 3, last_jump_size: N/A
telomer span: 326-337, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 338-349, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 350-377, length: 28, pattern Start: 118, pattern end: 3, last_jump_size: N/A
telomer span: 378-396, length: 19, pattern Start: 127, pattern end: 3, last_jump_size: 18
telomer span: 397-409, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 410-425, length: 16, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 426-450, length: 25, pattern Start: 131, pattern end: 13, last_jump_size: N/A
telomer span: 451-462, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 463-494, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: N/A
telomer span: 495-507, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 508-534, length: 27, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 535-548, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 549-622, length: 74, pattern Start: 82, pattern end: 13, last_jump_size: 63
telomer span: 623-634, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 635-666, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: N/A
telomer span: 667-679, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 680-686, length: 7, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 687-705, length: 19, pattern Start: 127, pattern end: 3, last_jump_size: N/A
telomer span: 706-718, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 719-745, length: 27, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 746-759, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 760-833, length: 74, pattern Start: 82, pattern end: 13, last_jump_size: 63
telomer span: 834-845, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 846-877, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: N/A
telomer span: 878-890, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 891-964, length: 74, pattern Start: 82, pattern end: 13, last_jump_size: 63
telomer span: 965-976, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
______________________
3L
telomer span: 1-13, length: 13, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 14-31, length: 18, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 32-55, length: 24, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 56-80, length: 25, pattern Start: 120, pattern end: 2, last_jump_size: N/A
telomer span: 81-88, length: 8, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 89-104, length: 16, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 105-133, length: 29, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 134-153, length: 20, pattern Start: 126, pattern end: 3, last_jump_size: N/A
telomer span: 154-172, length: 19, pattern Start: 127, pattern end: 3, last_jump_size: 18
telomer span: 173-191, length: 19, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 192-205, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 206-229, length: 24, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 230-253, length: 24, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 254-268, length: 15, pattern Start: 131, pattern end: 3, last_jump_size: N/A
telomer span: 269-276, length: 8, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 277-304, length: 28, pattern Start: 118, pattern end: 3, last_jump_size: N/A
telomer span: 305-317, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 318-344, length: 27, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 345-358, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 359-432, length: 74, pattern Start: 82, pattern end: 13, last_jump_size: 63
telomer span: 433-444, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 445-476, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: N/A
telomer span: 477-489, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 490-516, length: 27, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 517-530, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 531-604, length: 74, pattern Start: 82, pattern end: 13, last_jump_size: 63
telomer span: 605-616, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 617-648, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: N/A
telomer span: 649-661, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 662-688, length: 27, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 689-702, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 703-776, length: 74, pattern Start: 82, pattern end: 13, last_jump_size: 63
telomer span: 777-788, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 789-820, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: N/A
telomer span: 821-833, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 834-860, length: 27, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 861-874, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 875-948, length: 74, pattern Start: 82, pattern end: 13, last_jump_size: 63
telomer span: 949-960, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 961-992, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: N/A
telomer span: 993-1005, length: 13, pattern Start: 133, pattern end: 3, last_jump_size: 12
telomer span: 1006-1032, length: 27, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 1033-1046, length: 14, pattern Start: 132, pattern end: 3, last_jump_size: N/A
telomer span: 1047-1120, length: 74, pattern Start: 82, pattern end: 13, last_jump_size: 63
telomer span: 1121-1132, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
______________________
5L
telomer span: 1-14, length: 14, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 15-27, length: 13, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 28-37, length: 10, pattern Start: 135, pattern end: 2, last_jump_size: N/A
telomer span: 38-65, length: 28, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 66-81, length: 16, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 82-96, length: 15, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 97-104, length: 8, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 105-116, length: 12, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 117-131, length: 15, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 132-163, length: 32, pattern Start: 114, pattern end: 3, last_jump_size: N/A
telomer span: 164-197, length: 34, pattern Start: 122, pattern end: 13, last_jump_size: 23
telomer span: 198-225, length: 28, pattern Start: ambiguous, pattern end: ambiguous, last_jump_size: N/A
telomer span: 226-290, length: 65, pattern Start: 91, pattern end: 13, last_jump_size: N/A
